SEQNO,SYSID,JOBNAME,MSGID,TIMESTMP,USERID,TEXT,LABEL
513,MVSF,USER325M,ERR4014,09.13.16,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
514,MVSF,OPSS,PMO396I,09.59.26,USER325,-STEPEND,normal
515,MVSF,START1,IEF285I,09.31.14,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
516,MVSF,PM0,EZZ6034E,09.12.04,USER325M,ALERT: Disk usage at 95% - action required,critical
517,MVSF,START1,IEF403I,09.52.11,USER325,-WTO2,normal
518,MVSF,PM0,EZZ6034E,09.29.18,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
519,MVSF,PM0,IEF196I,09.25.28,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
520,MVSF,PM0,DBSERR01,09.50.04,USER325,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
521,MVSF,USER325M,CRIT1000,09.34.21,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
522,MVSF,USER325M,IEF196I,09.49.41,SYSOP,-STEPEND,normal
523,MVSF,USER325M,EZZ6034I,09.24.31,USER325,-WTO1,normal
524,MVSF,USER325,PREFIX,09.15.18,USER325,-WTOR2,normal
525,MVSF,CONSOLE,PMO396I,09.48.32,OPSS,-WTO1,normal
526,MVSF,PM0,PMO396I,09.07.22,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
527,MVSF,START1,PMO388I,09.17.15,START1,$HASP395 USER325M ENDED - RC=0000,normal
528,MVSF,USER325M,DBSERR01,09.45.10,OPSS,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
529,MVSF,JES2,PMO396I,09.07.09,SYSOP,-WTO1,normal
530,MVSF,USER325,IEF196I,09.41.34,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
531,MVSF,CONSOLE,DBSERR01,09.10.56,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
532,MVSF,USER325,PREFIX,09.00.11,OPSS,-WTOR2,normal
533,MVSF,OPSS,PREFIX,09.53.12,SYSOP,-WTOR2,normal
534,MVSF,CONSOLE,CRIT1000,09.18.01,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
535,MVSF,CONSOLE,IEF285I,09.54.43,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
536,MVSF,PM0,IEF196I,09.44.10,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
537,MVSF,JES2,CRIT1000,09.23.23,USER325,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
538,MVSF,PM0,PMO388I,09.58.04,START1,-STEPEND,normal
539,MVSF,PM0,DBSERR01,09.49.35,OPSS,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
540,MVSF,JES2,EZZ6034E,09.38.50,START1,ALERT: Disk usage at 95% - action required,critical
541,MVSF,USER325M,IEF403I,09.33.19,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
542,MVSF,OPSS,IEF196I,09.48.05,SYSOP,-STEPEND,normal
543,MVSF,START1,PMO396I,09.35.42,SYSOP,-WTO2,normal
544,MVSF,PM0,IEF285I,09.46.10,START1,IP..PORT: 66.167.166.156..8996,normal
545,MVSF,PM0,PMO396I,09.10.42,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
546,MVSF,CONSOLE,DBSERR01,09.16.26,USER325M,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
547,MVSF,USER325M,IEF285I,09.55.46,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
548,MVSF,JES2,PMO396I,09.34.01,START1,IP..PORT: 66.167.166.156..8996,normal
549,MVSF,USER325M,PMO388I,09.28.08,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
550,MVSF,PM0,IEF196I,09.45.50,START1,-STEPEND,normal
551,MVSF,CONSOLE,IEF196I,09.38.14,SYSOP,-WTO2,normal
552,MVSF,OPSS,CRIT1000,09.51.50,USER325,ALERT: Disk usage at 95% - action required,critical
553,MVSF,PM0,EZZ6034I,09.07.15,OPSS,-STEPEND,normal
554,MVSF,OPSS,ERR4014,09.17.21,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
555,MVSF,JES2,PMO388I,09.53.20,USER325,-WTO2,normal
556,MVSF,JES2,PMO388I,09.30.45,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
557,MVSF,OPSS,PREFIX,09.36.12,OPSS,-WTO4,normal
558,MVSF,PM0,PMO396I,09.39.29,USER325,IP..PORT: 66.167.166.156..8996,normal
559,MVSF,USER325M,PMO388I,09.41.34,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
560,MVSF,JES2,PREFIX,09.09.06,USER325,-WTOR1,normal
561,MVSF,PM0,CRIT1000,09.50.18,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
562,MVSF,PM0,PMO396I,09.09.03,USER325,-STEPEND,normal
563,MVSF,START1,IEF403I,09.32.47,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
564,MVSF,JES2,PMO388I,09.28.50,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
565,MVSF,USER325,IEF285I,09.18.13,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
566,MVSF,USER325,IEF285I,09.51.26,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
567,MVSF,PM0,EZZ6034E,09.44.10,SYSOP,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
568,MVSF,USER325M,PMO396I,09.26.27,START1,-STEPEND,normal
569,MVSF,OPSS,PREFIX,09.50.46,USER325M,-WTOR1,normal
570,MVSF,JES2,ERR4014,09.40.10,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
571,MVSF,USER325M,EZZ6034I,09.12.06,OPSS,-WTO2,normal
572,MVSF,OPSS,PMO396I,09.29.15,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
573,MVSF,CONSOLE,PMO396I,09.31.50,USER325,-STEPEND,normal
574,MVSF,USER325M,PREFIX,09.53.55,SYSOP,-WTO3,normal
575,MVSF,USER325,IEF196I,09.35.32,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
576,MVSF,OPSS,PMO396I,09.23.51,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
577,MVSF,USER325,IEF403I,09.51.22,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
578,MVSF,PM0,PREFIX,09.23.37,START1,-WTO3,normal
579,MVSF,PM0,PMO396I,09.21.54,START1,-WTO2,normal
580,MVSF,START1,PREFIX,09.49.25,USER325M,-WTOR2,normal
581,MVSF,USER325M,IEF403I,09.02.59,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
582,MVSF,OPSS,DBSERR01,09.11.25,SYSOP,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
583,MVSF,JES2,IEF285I,09.07.05,USER325,-WTO2,normal
584,MVSF,OPSS,ERR4014,09.31.20,USER325M,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
585,MVSF,START1,IEF285I,09.56.05,USER325,-STEPEND,normal
586,MVSF,USER325M,PREFIX,09.43.01,START1,-WTOR2,normal
587,MVSF,PM0,EZZ6034I,09.49.10,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
588,MVSF,START1,EZZ6034E,09.07.14,USER325M,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
589,MVSF,CONSOLE,CRIT1000,09.52.14,START1,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
590,MVSF,START1,EZZ6034E,09.15.00,USER325,ALERT: Disk usage at 95% - action required,critical
591,MVSF,PM0,CRIT1000,09.54.16,USER325M,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
592,MVSF,OPSS,PMO396I,09.00.20,SYSOP,-WTO1,normal
593,MVSF,PM0,IEF196I,09.50.36,USER325M,-STEPEND,normal
594,MVSF,USER325,PREFIX,09.15.04,SYSOP,-WTO4,normal
595,MVSF,PM0,IEF285I,09.37.31,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
596,MVSF,CONSOLE,IEF196I,09.24.22,USER325,-WTO2,normal
597,MVSF,CONSOLE,IEF403I,09.33.10,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
598,MVSF,JES2,EZZ6034I,09.21.35,START1,-WTO1,normal
599,MVSF,JES2,IEF285I,09.24.32,USER325,$HASP395 USER325M ENDED - RC=0000,normal
600,MVSF,CONSOLE,PMO388I,09.52.53,USER325M,IP..PORT: 66.167.166.156..8996,normal
601,MVSF,JES2,EZZ6034I,09.56.25,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
602,MVSF,OPSS,EZZ6034I,09.57.59,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
603,MVSF,OPSS,ERR4014,09.37.39,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
604,MVSF,CONSOLE,PREFIX,09.26.47,USER325,-WTOR2,normal
605,MVSF,START1,IEF403I,09.34.50,OPSS,-WTO1,normal
606,MVSF,JES2,EZZ6034I,09.35.05,USER325,-WTO2,normal
607,MVSF,CONSOLE,PMO396I,09.02.45,USER325,-WTO1,normal
608,MVSF,OPSS,IEF403I,09.45.38,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
609,MVSF,OPSS,ERR4014,09.02.43,USER325M,ALERT: Disk usage at 95% - action required,critical
610,MVSF,START1,PREFIX,09.37.09,SYSOP,-WTOR1,normal
611,MVSF,START1,EZZ6034I,09.44.36,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
612,MVSF,CONSOLE,IEF285I,09.55.47,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
613,MVSF,USER325M,PMO396I,09.11.18,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
614,MVSF,USER325,IEF285I,09.24.43,SYSOP,-WTO1,normal
615,MVSF,JES2,EZZ6034E,09.22.32,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
616,MVSF,OPSS,IEF285I,09.16.38,OPSS,-WTO1,normal
617,MVSF,START1,IEF285I,09.10.01,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
618,MVSF,PM0,PREFIX,09.49.41,USER325M,-WTOR2,normal
619,MVSF,USER325,PMO396I,09.14.58,START1,IP..PORT: 66.167.166.156..8996,normal
620,MVSF,USER325,DBSERR01,09.49.26,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
621,MVSF,USER325M,IEF196I,09.09.01,OPSS,-WTO2,normal
622,MVSF,START1,PMO396I,09.06.34,USER325,$HASP395 USER325M ENDED - RC=0000,normal
623,MVSF,OPSS,PMO396I,09.32.55,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
624,MVSF,CONSOLE,IEF196I,09.59.43,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
625,MVSF,START1,PMO388I,09.54.55,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
626,MVSF,CONSOLE,PMO388I,09.40.50,SYSOP,-WTO2,normal
627,MVSF,START1,IEF285I,09.35.40,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
628,MVSF,CONSOLE,IEF285I,09.07.16,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
629,MVSF,START1,IEF403I,09.24.57,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
630,MVSF,USER325,IEF285I,09.25.16,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
631,MVSF,PM0,IEF403I,09.09.25,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
632,MVSF,USER325,EZZ6034I,09.34.42,START1,-WTO1,normal
633,MVSF,PM0,EZZ6034E,09.00.21,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
634,MVSF,OPSS,PMO396I,09.17.57,USER325,$HASP395 USER325M ENDED - RC=0000,normal
635,MVSF,START1,EZZ6034I,09.44.47,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
636,MVSF,PM0,PREFIX,09.33.44,START1,-WTO3,normal
637,MVSF,JES2,CRIT1000,09.40.55,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
638,MVSF,CONSOLE,IEF285I,09.16.19,OPSS,-WTO1,normal
639,MVSF,PM0,IEF403I,09.26.58,START1,$HASP395 USER325M ENDED - RC=0000,normal
640,MVSF,START1,EZZ6034I,09.19.25,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
641,MVSF,USER325M,IEF403I,09.27.34,SYSOP,-WTO2,normal
642,MVSF,START1,PMO396I,09.20.05,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
643,MVSF,PM0,PREFIX,09.30.13,START1,-WTOR1,normal
644,MVSF,START1,CRIT1000,09.58.50,OPSS,ALERT: Disk usage at 95% - action required,critical
645,MVSF,JES2,PMO388I,09.21.33,START1,-WTO2,normal
646,MVSF,CONSOLE,IEF196I,09.06.20,START1,-STEPEND,normal
647,MVSF,USER325M,EZZ6034E,09.21.25,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
648,MVSF,PM0,IEF285I,09.13.37,USER325,-WTO2,normal
649,MVSF,JES2,DBSERR01,09.17.02,SYSOP,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
650,MVSF,START1,EZZ6034E,09.00.27,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
651,MVSF,USER325M,CRIT1000,09.39.13,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
652,MVSF,USER325,PREFIX,09.51.12,SYSOP,-WTOR1,normal
653,MVSF,START1,PMO388I,09.23.42,START1,IP..PORT: 66.167.166.156..8996,normal
654,MVSF,CONSOLE,ERR4014,09.47.03,OPSS,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
655,MVSF,CONSOLE,PMO396I,09.41.49,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
656,MVSF,USER325M,IEF403I,09.41.51,USER325M,-WTO2,normal
657,MVSF,CONSOLE,IEF285I,09.58.19,START1,$HASP395 USER325M ENDED - RC=0000,normal
658,MVSF,PM0,IEF285I,09.18.25,USER325,-WTO2,normal
659,MVSF,USER325M,DBSERR01,09.55.00,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
660,MVSF,JES2,EZZ6034I,09.33.13,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
661,MVSF,PM0,EZZ6034E,09.11.09,OPSS,ALERT: Disk usage at 95% - action required,critical
662,MVSF,PM0,EZZ6034I,09.22.50,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
663,MVSF,USER325M,IEF403I,09.08.16,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
664,MVSF,JES2,PREFIX,09.19.25,USER325M,-WTO4,normal
665,MVSF,USER325M,EZZ6034I,09.41.53,USER325M,IP..PORT: 66.167.166.156..8996,normal
666,MVSF,USER325M,PREFIX,09.43.05,SYSOP,-WTO4,normal
667,MVSF,CONSOLE,EZZ6034E,09.15.34,USER325M,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
668,MVSF,USER325M,IEF403I,09.53.18,USER325M,$HASP395 USER325M ENDED - RC=0000,normal
669,MVSF,USER325,PMO388I,09.58.18,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
670,MVSF,USER325,IEF403I,09.27.06,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
671,MVSF,OPSS,PREFIX,09.52.37,START1,-WTOR2,normal
672,MVSF,START1,IEF196I,09.10.36,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
673,MVSF,PM0,CRIT1000,09.19.23,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
674,MVSF,PM0,IEF285I,09.24.21,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
675,MVSF,USER325,PMO396I,09.47.37,SYSOP,-STEPEND,normal
676,MVSF,CONSOLE,EZZ6034I,09.32.52,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
677,MVSF,CONSOLE,IEF403I,09.10.37,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
678,MVSF,USER325M,IEF285I,09.36.31,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
679,MVSF,OPSS,PMO388I,09.52.17,START1,IP..PORT: 66.167.166.156..8996,normal
680,MVSF,USER325,IEF196I,09.28.06,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
681,MVSF,USER325,EZZ6034I,09.17.57,OPSS,$HASP395 USER325M ENDED - RC=0000,normal
682,MVSF,PM0,PMO396I,09.50.43,SYSOP,-STEPEND,normal
683,MVSF,CONSOLE,IEF196I,09.07.32,START1,-WTO1,normal
684,MVSF,CONSOLE,PMO396I,09.01.19,USER325,IP..PORT: 66.167.166.156..8996,normal
685,MVSF,CONSOLE,IEF285I,09.08.32,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
686,MVSF,OPSS,DBSERR01,09.33.41,USER325,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
687,MVSF,PM0,PMO388I,09.54.01,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
688,MVSF,JES2,DBSERR01,09.26.47,OPSS,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
689,MVSF,OPSS,IEF403I,09.52.26,USER325,$HASP395 USER325M ENDED - RC=0000,normal
690,MVSF,USER325,PREFIX,09.31.27,OPSS,-WTO4,normal
691,MVSF,PM0,PREFIX,09.21.18,USER325M,-WTOR2,normal
692,MVSF,PM0,EZZ6034E,09.20.23,USER325,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
693,MVSF,USER325,EZZ6034I,09.43.12,START1,-WTO2,normal
694,MVSF,JES2,IEF403I,09.16.35,OPSS,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
695,MVSF,CONSOLE,EZZ6034I,09.52.37,OPSS,IP..PORT: 66.167.166.156..8996,normal
696,MVSF,OPSS,EZZ6034I,09.24.16,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
697,MVSF,CONSOLE,DBSERR01,09.38.07,USER325M,ALERT: Disk usage at 95% - action required,critical
698,MVSF,CONSOLE,IEF285I,09.49.27,USER325,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
699,MVSF,START1,EZZ6034I,09.47.35,START1,IP..PORT: 66.167.166.156..8996,normal
700,MVSF,CONSOLE,IEF403I,09.59.13,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
701,MVSF,USER325M,IEF196I,09.20.11,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
702,MVSF,PM0,EZZ6034I,09.12.39,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
703,MVSF,PM0,PMO396I,09.04.19,SYSOP,-WTO2,normal
704,MVSF,START1,EZZ6034I,09.19.19,USER325M,IP..PORT: 66.167.166.156..8996,normal
705,MVSF,OPSS,IEF196I,09.57.00,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
706,MVSF,OPSS,IEF196I,09.02.10,SYSOP,IP..PORT: 66.167.166.156..8996,normal
707,MVSF,OPSS,PMO388I,09.25.00,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
708,MVSF,USER325M,IEF285I,09.54.40,OPSS,IP..PORT: 66.167.166.156..8996,normal
709,MVSF,JES2,ERR4014,09.42.06,USER325M,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
710,MVSF,START1,CRIT1000,09.06.37,OPSS,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
711,MVSF,START1,IEF285I,09.42.41,USER325,-WTO2,normal
712,MVSF,PM0,EZZ6034I,09.31.18,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
713,MVSF,START1,IEF285I,09.23.02,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
714,MVSF,JES2,IEF403I,09.25.22,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
715,MVSF,START1,EZZ6034I,09.37.14,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
716,MVSF,USER325M,EZZ6034I,09.30.32,START1,-STEPEND,normal
717,MVSF,CONSOLE,IEF403I,09.00.26,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
718,MVSF,OPSS,PREFIX,09.52.40,USER325M,-WTO4,normal
719,MVSF,OPSS,PMO396I,09.31.25,USER325M,-WTO1,normal
720,MVSF,CONSOLE,PMO396I,09.55.22,USER325M,-WTO2,normal
721,MVSF,JES2,IEF285I,09.32.56,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
722,MVSF,OPSS,EZZ6034I,09.49.53,SYSOP,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
723,MVSF,USER325M,CRIT1000,09.59.14,OPSS,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
724,MVSF,OPSS,EZZ6034I,09.20.48,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
725,MVSF,USER325,IEF285I,09.03.26,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
726,MVSF,USER325M,PREFIX,09.19.46,START1,-WTO3,normal
727,MVSF,CONSOLE,PMO388I,09.05.48,START1,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
728,MVSF,START1,DBSERR01,09.13.31,START1,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
729,MVSF,USER325,PMO396I,09.04.53,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
730,MVSF,PM0,PMO396I,09.28.14,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
731,MVSF,USER325,IEF403I,09.23.52,SYSOP,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
732,MVSF,JES2,DBSERR01,09.15.56,USER325,ALERT: Disk usage at 95% - action required,critical
733,MVSF,PM0,EZZ6034I,09.03.43,USER325,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
734,MVSF,CONSOLE,PREFIX,09.47.21,OPSS,-WTOR1,normal
735,MVSF,USER325,IEF403I,09.37.18,SYSOP,-WTO2,normal
736,MVSF,USER325M,PMO396I,09.39.47,SYSOP,-WTO1,normal
737,MVSF,OPSS,IEF403I,09.31.44,OPSS,-WTO2,normal
738,MVSF,JES2,EZZ6034I,09.07.21,OPSS,-STEPEND,normal
739,MVSF,START1,ERR4014,09.48.26,OPSS,OPS TRAINING: CRITICAL - USER NEEDS A BREAK,critical
740,MVSF,USER325,PMO396I,09.13.34,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
741,MVSF,USER325,EZZ6034I,09.36.08,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
742,MVSF,PM0,IEF285I,09.24.01,USER325M,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
743,MVSF,PM0,PMO396I,09.17.35,START1,-STEPEND,normal
744,MVSF,USER325,EZZ6034E,09.10.21,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
745,MVSF,USER325M,IEF196I,09.16.24,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
746,MVSF,START1,PREFIX,09.08.59,USER325,-WTOR1,normal
747,MVSF,CONSOLE,EZZ6034I,09.47.00,SYSOP,-WTO2,normal
748,MVSF,OPSS,IEF285I,09.38.02,SYSOP,-WTO1,normal
749,MVSF,JES2,IEF403I,09.21.45,START1,-WTO1,normal
750,MVSF,JES2,EZZ6034I,09.12.49,OPSS,-STEPEND,normal
751,MVSF,START1,PMO396I,09.15.51,USER325,-STEPEND,normal
752,MVSF,START1,EZZ6034I,09.57.45,SYSOP,IP..PORT: 66.167.166.156..8996,normal
753,MVSF,USER325M,IEF285I,09.09.23,USER325,$HASP395 USER325M ENDED - RC=0000,normal
754,MVSF,USER325,IEF196I,09.50.40,USER325,-STEPEND,normal
755,MVSF,JES2,PMO388I,09.31.14,USER325,IP..PORT: 66.167.166.156..8996,normal
756,MVSF,START1,ERR4014,09.50.41,SYSOP,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
757,MVSF,USER325M,EZZ6034I,09.31.11,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
758,MVSF,START1,PMO396I,09.26.26,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
759,MVSF,USER325M,PREFIX,09.27.10,USER325M,-WTO4,normal
760,MVSF,START1,IEF285I,09.03.43,SYSOP,$HASP395 USER325M ENDED - RC=0000,normal
761,MVSF,PM0,EZZ6034I,09.34.10,OPSS,IP..PORT: 66.167.166.156..8996,normal
762,MVSF,USER325M,EZZ6034I,09.28.13,USER325M,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
763,MVSF,OPSS,PMO396I,09.17.04,USER325M,-WTO2,normal
764,MVSF,OPSS,PREFIX,09.07.47,START1,-WTO4,normal
765,MVSF,USER325M,EZZ6034I,09.37.34,START1,$HASP395 USER325M ENDED - RC=0000,normal
766,MVSF,JES2,IEF403I,09.09.52,USER325,-WTO1,normal
767,MVSF,CONSOLE,EZZ6034E,09.49.50,START1,ALERT: Disk usage at 95% - action required,critical
768,MVSF,START1,IEF285I,09.52.15,USER325M,-WTO2,normal
769,MVSF,START1,PMO388I,09.33.41,USER325,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
770,MVSF,USER325M,EZZ6034I,09.30.09,OPSS,IP..PORT: 66.167.166.156..8996,normal
771,MVSF,OPSS,PMO396I,09.12.37,USER325,-STEPEND,normal
